ID,Onion,Potato,Burger,Milk,Beer,Eggs,Bread,Cheese,Tomato,Chicken,Rice,Cereal,Yogurt,Apples
463,0,0,1,0,0,0,0,1,0,0,1,0,1,1
464,1,1,1,1,1,1,1,0,0,0,0,0,0,1
465,0,1,0,1,0,1,0,0,1,1,1,0,0,0
466,0,1,0,0,0,0,0,0,0,1,1,1,0,1
467,0,1,1,0,0,0,0,1,0,1,0,1,1,0
468,0,1,0,0,1,1,0,0,0,1,0,1,1,1
469,1,1,1,1,1,0,1,1,1,1,1,0,1,0
470,0,1,1,1,0,1,1,1,1,1,1,0,0,1
471,0,1,0,1,1,1,0,1,1,1,0,0,0,1
472,1,0,1,1,0,1,1,1,1,0,0,0,0,0
473,0,1,1,0,0,1,0,0,1,0,0,1,0,1
474,1,0,1,1,1,1,1,0,1,1,0,0,1,0
475,0,1,0,1,1,0,1,0,1,1,0,1,0,1
476,0,0,0,0,0,0,1,1,0,0,1,0,0,0
477,1,0,0,1,0,0,1,0,1,0,0,0,0,1
478,1,0,1,0,0,0,0,0,1,0,0,0,0,0
479,1,0,0,1,0,1,0,1,1,1,1,0,1,1
480,0,0,0,0,1,1,1,0,1,0,1,0,1,1
481,0,1,0,0,0,0,0,0,1,0,1,0,0,0
482,0,0,1,1,0,0,1,0,0,0,0,1,0,1
483,1,0,1,0,1,1,1,0,1,1,1,0,0,1
484,0,1,0,1,0,1,1,0,1,0,1,1,0,1
485,0,0,1,0,0,0,1,0,1,0,1,1,0,0
486,0,0,1,0,1,1,1,1,0,1,1,0,0,0
487,1,1,0,0,1,0,0,0,1,1,1,0,0,0
488,1,1,1,0,0,0,1,1,1,1,1,1,0,1
489,1,1,0,0,0,1,0,0,1,0,0,1,0,1
490,0,0,1,0,1,1,0,1,1,0,0,1,0,1
491,0,0,0,1,0,0,0,1,0,0,1,0,0,1
492,0,0,1,0,0,1,1,0,1,0,0,0,0,0
493,0,0,0,1,0,1,0,1,1,1,1,1,1,0
494,1,0,0,0,0,0,1,0,0,0,1,1,1,0
495,1,0,1,0,1,1,1,0,0,1,1,0,0,1
496,0,0,0,0,1,0,1,1,1,0,1,1,0,1
497,1,1,0,1,0,0,0,1,1,1,1,0,1,0
498,0,0,1,1,0,0,1,0,1,1,0,0,0,1
499,1,0,1,1,0,1,0,1,1,1,0,1,1,1
500,1,1,1,0,0,1,0,1,0,0,1,0,0,0
501,1,1,1,1,1,1,1,1,1,1,1,1,1,1
502,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,0,0,0,0,1,0,0,0,0,1,0,0,0,0
504,0,0,0,0,1,0,0,0,0,1,0,0,0,0
505,0,0,0,0,1,0,0,0,0,1,0,0,0,0
506,0,0,0,0,1,0,0,0,0,1,0,0,0,0
507,0,0,0,0,1,0,0,0,0,1,0,0,0,0
508,0,0,0,0,1,0,0,0,0,1,0,0,0,0
509,0,0,0,0,1,0,0,0,0,1,0,0,0,0
510,0,0,0,0,1,0,0,0,0,1,0,0,0,0
511,0,0,0,0,1,0,0,0,0,1,0,0,0,0
512,0,0,0,0,1,0,0,0,0,1,1,0,0,0
513,0,0,0,0,1,0,0,0,0,1,1,0,0,0
514,0,0,0,0,1,0,0,0,0,1,1,0,0,0
515,0,0,0,0,1,0,0,0,0,1,1,0,0,0
516,0,0,0,0,1,0,0,0,0,1,1,0,0,0
517,0,0,0,0,1,0,0,0,0,1,1,0,0,0
518,0,0,0,0,1,0,0,0,0,1,1,0,0,0
519,0,0,0,0,1,0,0,0,0,1,1,0,0,0
520,0,0,0,0,1,0,0,0,0,1,1,0,0,0
521,0,0,0,0,1,0,0,0,0,1,1,0,0,0
522,0,0,0,0,1,0,0,0,0,1,1,0,0,0
523,0,0,0,0,1,1,0,0,0,1,1,0,0,0
524,0,0,0,0,1,1,0,0,0,1,1,0,0,1
525,0,0,0,0,1,0,0,0,0,1,1,0,0,1
526,0,0,0,0,1,0,0,0,0,1,1,0,0,1
527,0,0,0,0,1,0,0,0,0,1,1,0,0,1
528,0,0,0,0,1,0,0,0,0,1,1,0,0,1
529,0,0,0,0,1,0,0,0,0,1,1,0,0,1
530,0,0,0,0,1,0,0,0,0,1,1,0,0,1
531,0,0,0,0,1,0,0,0,0,1,1,0,0,1
532,0,0,0,0,1,0,0,0,0,1,1,0,0,1
533,0,0,0,0,1,0,0,0,0,1,1,0,0,1
534,0,0,0,0,1,0,0,0,0,1,1,0,0,1
535,0,0,0,1,0,0,1,0,0,0,0,0,0,0
536,0,0,0,1,0,0,1,0,0,0,0,0,0,0
537,0,0,0,1,0,0,1,0,0,0,0,0,0,0
538,0,0,0,1,0,0,1,0,0,0,0,0,0,0
539,0,0,0,1,0,0,1,0,0,0,0,0,0,0
540,0,0,0,1,0,0,1,0,0,0,0,0,0,0
541,0,0,0,1,0,0,1,0,0,0,0,0,0,0
542,0,0,0,1,0,0,1,0,0,0,0,0,0,0
543,0,0,0,1,0,0,1,0,0,0,0,0,0,0
544,0,0,0,1,0,0,1,0,0,0,0,0,0,0
545,0,0,0,1,0,0,1,0,0,0,0,0,0,0
546,0,0,0,1,0,0,1,0,0,0,0,0,0,0
547,0,0,0,1,0,0,1,0,0,0,0,0,0,0
548,0,0,0,1,0,0,1,0,0,0,0,0,0,0
549,0,0,0,1,0,0,1,0,0,0,0,0,0,0
550,0,0,0,1,0,0,1,0,0,0,0,0,0,0
551,0,0,0,1,0,0,1,0,0,0,0,0,0,0
552,0,0,0,1,0,0,1,0,0,0,0,0,0,0
553,0,0,0,1,0,0,1,0,0,0,0,0,0,0
554,0,0,0,1,0,0,1,0,0,0,0,0,0,0
555,0,0,0,1,0,0,1,0,0,0,0,0,0,0
556,0,0,0,1,0,0,1,0,0,0,0,0,0,0
557,0,0,0,1,0,0,1,0,0,0,0,0,0,0
558,0,0,0,1,0,0,1,0,0,0,0,0,0,0
559,0,0,0,1,0,0,1,0,0,0,0,0,0,0
560,0,0,0,1,0,0,1,0,0,0,0,0,0,0
561,0,0,0,1,0,0,1,0,0,0,0,0,0,0
562,0,0,0,1,0,0,1,0,0,0,0,0,0,0
563,0,0,0,1,0,0,1,0,0,0,0,0,0,0
564,0,0,0,1,0,0,1,0,0,0,0,0,0,0
565,0,0,0,1,0,0,1,0,0,0,0,0,0,0
566,0,0,0,1,0,0,1,0,0,0,0,0,0,0
567,0,0,0,1,0,0,1,0,0,0,0,0,0,0
568,0,0,0,1,0,0,1,0,0,0,0,0,0,0
569,0,0,0,1,0,0,1,0,0,0,0,0,0,0
570,0,0,0,1,0,0,1,0,0,0,0,0,0,0
571,0,0,0,1,0,0,1,0,0,0,0,0,0,0
572,0,0,0,1,0,0,1,0,0,0,0,0,0,0
573,0,0,0,1,0,0,1,0,0,0,0,0,0,0
574,0,0,0,1,0,0,1,0,0,0,0,0,0,0
575,0,0,0,1,0,0,1,0,0,0,0,0,0,0
576,0,0,0,1,0,0,1,0,0,0,0,0,0,0
577,0,0,0,1,0,0,1,0,0,0,0,0,0,0
578,0,0,0,1,0,0,1,0,0,0,0,0,0,0
579,0,0,0,1,0,0,1,0,0,0,0,0,0,0
580,0,0,0,1,0,0,1,0,0,0,0,0,0,0
581,0,0,0,1,0,0,1,0,0,0,0,0,0,0
582,0,0,0,1,0,0,1,0,0,0,0,0,0,0
583,0,0,0,1,0,0,1,0,0,0,0,0,0,0
584,0,0,0,1,0,0,1,0,0,0,0,0,0,0
585,0,0,0,1,0,0,1,0,0,0,0,0,0,0
586,0,0,0,1,0,0,1,0,0,0,0,0,0,0
587,0,0,0,1,0,0,1,0,0,0,0,0,0,0
588,0,0,0,1,0,0,1,0,0,0,0,0,0,0
589,0,0,0,1,0,0,1,0,0,0,0,0,0,0
590,0,0,0,1,0,0,1,0,0,0,0,0,0,0
591,0,0,0,0,1,0,0,0,0,1,0,0,0,0
592,0,0,0,0,1,0,0,0,0,1,0,0,0,0
593,0,0,0,0,1,0,0,0,0,1,0,0,0,0
594,0,0,0,0,1,0,0,0,0,1,0,0,0,0
595,0,0,0,0,1,0,0,0,0,1,0,0,0,0
596,0,0,0,0,1,0,0,0,0,1,0,0,0,0
597,0,0,0,0,1,0,0,0,0,1,0,0,0,0
598,0,0,0,0,1,0,0,0,0,1,0,0,0,0
599,0,0,0,0,1,0,0,0,0,1,0,0,0,0
600,0,0,0,0,1,0,0,0,0,1,0,0,0,0
601,0,0,0,0,1,0,0,0,0,1,0,0,0,0
